分類,guest 1,guest 2,guest 3,guest 4,guest 5,guest 6,guest 7,guest 8,guest 9,guest 10,guest 11,guest 12,guest 13,guest 14,guest 15,guest 16,guest 17,guest 18,guest 19,guest 20,guest 21,guest 22,guest 23,guest 24,guest 25,guest 26,guest 27,c_view,g_view
活動,解婕翎,詹惟中,梁凱莉,張立東,李懿,Paul,黃沐妍,大根,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399345,4
活動,蔡允潔,馬西屏,曹西平,詹子晴,馬幼興,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457326,4
模仿,左左右右紫棋妹,李漢典,祈錦鈅,陸嘉偉,陳孟潔,信子,Ivy,小曾,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271492,5
遊戲,小老師,嘻小瓜,宗憲隊,小馬,張齡予,漢典隊,沈玉琳,黃沐妍,LuLu隊,趙正平,小優,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,656343,3
歌曲,評審,潘瑋柏,紅隊,小甜甜,Wacky,Boys,溫妮,PSboyz,藍隊,韓森,唐從聖,芮德,Nike,曼達,0,0,0,0,0,0,0,0,0,0,0,0,0,880692,2
夫妻,曾雅蘭,Vicky,林姿佑,Mei,萁萁,徐小可,咪咪,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1117121,1
活動,浪LIVE主播,愷弟,亭恩,若凡,韋綸,助理主場,趙正平,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,383035,4
遊戲,劉書宏,沈玉琳,Albee,孫其君,邰智源,大根,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,982368,2
遊戲,劉書宏,沈玉琳,Albee,孫其君,邰智源,大根,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,771953,3
活動,評審,杜力,安妮黃鐙輝,蘿莉塔,撒基努,黃沐妍,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68488,6
歌曲,評審,陳奕,魏蔓,羅時豐陳乃榮,陳若穎,沈建宏,斯亞,簡宏霖,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289360,5
遊戲,劉書宏,沈玉琳,Albee,孫其君,邰智源,大根,踢館魔主,于美人,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,785980,3
職業,海產,米亞,孫伯綸,林書嬅,荒漠甘泉,卡龍,志豪,邵阿咩,朱家興,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216366,5
